PUBID,gender,ENROLLSTAT_2009,CV_HH_SIZE_2009,CV_HIGHEST_DEGREE_2009,marital_status_2009,BIO_CHILD_HH_2009,URBAN-RURAL_2009,income_2009,health_2009,T_2009,y_2009,ENROLLSTAT_2010,CV_HH_SIZE_2010,CV_HIGHEST_DEGREE_2010,marital_status_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,income_2010,health_2010,T_2010,y_2010,CVC_HOURS_WK_YR_ALL_2009,CVC_HOURS_WK_YR_ALL_2010
5610,2,11,1,4,2,-4,1,-4,4,6,5,11,1,4,2,-4,1,-4,4,6,6,0,0
5611,1,1,5,0,1,2,0,10000,1,3,8,1,2,0,2,0,1,-4,1,6,9,0,0
5612,1,3,1,2,2,-4,0,28000,3,1,8,3,1,2,2,-4,0,-4,2,2,7,0,0
5613,2,6,3,-3,2,-4,0,20000,3,6,5,6,3,4,2,-4,0,36000,4,2,7,2328,1869
5614,1,4,2,2,3,-4,0,45000,1,4,6,4,2,2,3,-4,0,47000,2,3,4,2584,2392
5615,2,4,3,1,2,2,0,13000,4,6,7,9,3,1,2,2,0,12000,3,6,6,1250,-3
5616,2,4,4,2,1,1,1,24000,3,6,8,4,3,2,3,1,1,22000,2,6,8,1976,1976
5617,1,3,6,2,3,1,1,22000,2,6,5,3,6,2,3,1,1,31000,2,1,5,2225,2184
5618,2,5,2,3,1,-4,1,27500,4,6,6,5,2,3,1,-4,0,1000,2,5,6,190,500
5619,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
5620,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
5621,2,2,6,1,2,2,2,-2,4,4,7,2,4,1,1,2,0,11000,3,3,6,1040,1300
5622,2,11,3,4,2,-4,2,-2,3,5,8,6,1,4,2,-4,1,14700,2,6,8,1820,1820
5623,2,4,3,2,2,2,0,15000,2,3,6,4,3,2,2,2,1,16000,1,3,6,1150,1638
5624,2,3,5,2,2,4,2,-2,2,1,7,9,5,2,2,4,1,-4,3,4,7,120,0
5625,2,10,7,4,4,2,2,25000,1,4,7,10,4,4,6,2,1,29000,1,6,6,2124,2272
5626,1,3,4,2,2,2,2,30000,3,4,8,3,3,2,2,0,1,34000,4,6,6,2080,2080
5627,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,5,0,2,0,1,-4,1,1,8,0,0
5628,2,4,2,2,2,1,2,26000,3,1,8,4,2,2,2,1,1,-4,2,1,8,1440,60
5629,1,4,3,2,2,0,2,20000,2,6,7,4,3,2,2,0,0,10000,1,5,8,-3,2050
5630,1,9,2,2,3,-4,1,22000,1,6,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
5631,1,2,4,1,2,-4,2,-2,2,1,8,2,2,1,2,-4,1,1000,1,2,8,2080,0
5632,2,4,2,2,2,-4,2,30000,3,1,5,4,2,2,2,-4,1,39000,3,1,6,2800,2964
5633,2,4,4,2,3,2,2,29000,2,6,8,4,6,2,3,2,0,34000,3,6,7,2342,2632
5634,2,9,4,2,2,1,1,40000,4,6,5,9,5,2,2,1,0,35000,3,6,6,2994,2924
5635,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,520,520
5636,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2288,2288
5637,2,3,4,2,8,3,2,24000,3,5,7,3,4,2,8,3,0,24000,3,3,6,2190,2722
5638,2,4,3,2,2,2,0,20000,2,3,6,4,3,2,2,4,0,26000,1,4,8,2600,620
5639,1,10,4,2,4,0,0,30000,3,6,5,4,8,2,4,0,1,19000,1,4,5,510,1210
5640,1,4,1,2,2,-4,2,32000,1,6,7,4,1,2,2,-4,2,32000,4,5,4,0,0
5641,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1840,2080
5642,2,4,2,2,3,-4,2,24000,1,6,6,4,2,2,3,-4,0,22000,1,6,7,2080,2360
5643,1,3,3,2,2,-4,2,36636,2,3,8,3,1,2,2,-4,0,38000,2,6,6,2307,2222
5644,2,11,3,4,2,-4,1,36500,2,6,7,11,1,4,2,-4,1,40000,2,6,8,2080,2168
5645,2,3,5,2,1,3,1,19000,1,6,5,3,5,2,1,3,1,22000,1,6,5,2040,2080
5646,2,10,2,2,3,-4,0,24000,2,6,6,4,3,2,3,1,0,-2,2,6,8,1216,1160
5647,2,4,4,2,3,2,0,28000,1,4,8,4,4,2,3,2,0,12000,1,4,9,2102,1560
5648,2,4,4,1,3,2,2,4500,2,6,6,4,4,1,3,2,0,3581,2,6,7,500,1375
5649,2,9,1,1,2,-4,1,19500,4,6,6,4,2,1,1,-4,1,20000,4,6,6,2044,1933
5650,1,2,3,1,8,0,1,-2,3,3,8,2,3,1,8,0,1,9547,3,2,8,-3,200
5651,1,3,1,2,8,-4,1,-4,2,1,7,3,2,2,8,-4,1,-2,3,1,8,1880,2010
5652,1,11,1,4,2,-4,1,-4,2,6,6,7,2,5,2,-4,1,-4,2,6,6,210,1560
5653,2,2,3,1,2,1,1,-2,1,1,8,2,1,1,2,-3,1,-4,1,1,8,1600,800
5654,1,11,1,4,2,-4,2,65000,1,6,8,6,1,4,2,-4,0,75000,1,6,7,0,0
5655,2,2,4,1,8,2,0,-4,2,1,8,2,4,1,8,2,0,4000,3,3,9,338,672
5656,2,3,4,2,3,2,1,9000,4,1,7,3,4,2,3,2,0,-4,2,3,6,0,0
5657,1,6,2,4,1,-4,1,6500,4,6,6,6,2,4,1,-4,1,17500,4,4,5,1940,1520
5658,1,3,4,2,3,2,0,-4,1,3,10,3,4,2,3,2,0,50000,1,1,6,4160,3835
5659,2,3,3,2,2,-4,2,-4,3,4,10,3,4,2,2,-4,0,-4,3,1,8,0,0
5660,1,2,6,1,3,4,2,-4,1,1,8,2,6,1,3,4,0,-2,1,1,8,746,945
5661,2,4,5,2,3,2,1,-2,3,6,6,4,4,2,3,2,1,-2,4,3,6,-3,1400
5662,2,9,2,2,1,-4,2,30000,2,6,5,4,2,2,3,-4,0,30000,2,6,6,2080,2064
5663,2,1,2,0,6,2,1,-2,3,6,6,2,4,1,6,0,0,-4,3,1,4,0,0
5664,2,1,4,0,1,-4,0,-2,2,1,0,2,4,1,2,-4,0,-2,1,1,6,1775,2134
5665,2,3,3,2,8,2,1,-4,4,6,4,3,4,2,3,2,0,-2,1,6,7,1911,1500
5666,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
