PUBID,GENDER,ENROLL_STAT_2010,HH_SIZE_2010,HIGHEST_DEGREE_2010,MARITAL_STAT_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,INCOME_2010,GENERAL_HEALTH_2010,HOURS_PER_WEEK_COMPUTER_2010,HOURS_PER_NIGHT_SLEEP_2010,ENROLL_STAT_2011,HH_SIZE_2011,HIGHEST_DEGREE_2011,MARITAL_STAT_2011,BIO_CHILD_HH_2011,URBAN-RURAL_2011,INCOME_2011,GENERAL_HEALTH_2011,HOURS_PER_WEEK_COMPUTER_2011,ENROLL_STAT_2011,TOTAL_HOURS_WORKED_2010,TOTAL_HOURS_WORKED_2011
204,2,10,3,2,3,1,1,42000,3,6,5,4,3,2,3,1,1,54000,3,6,5,2400,2500
205,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,-3,1,-4,1,20000,2,6,6,2340,970
206,1,10,5,4,2,-4,1,38000,3,6,7,6,4,4,2,-4,1,47000,3,6,4,1874,320
207,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1080,0
208,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1248,1272
209,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
210,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
211,2,6,4,4,3,2,1,-1,2,6,4,6,4,4,3,2,1,60000,2,6,4,1505,2015
212,1,2,8,1,3,4,1,61000,3,6,7,2,6,1,3,4,1,64800,2,6,6,2600,2650
213,2,5,3,3,3,1,1,32000,2,3,6,5,3,3,3,1,1,-4,1,5,7,1265,85
214,2,4,5,2,2,-4,1,63000,2,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1976,2120
215,1,9,1,2,2,-4,0,34000,2,6,7,4,3,2,1,1,1,38000,3,6,6,2340,2400
216,2,9,5,1,3,2,1,32000,3,6,7,9,5,1,3,2,1,32000,4,6,6,1560,1930
217,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,2,3,3,1,5000,2,3,7,2051,735
218,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
219,1,6,3,4,2,-4,1,22000,1,6,7,6,3,4,2,-4,1,26000,2,6,7,1623,1758
220,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
221,2,5,3,3,1,1,1,32000,2,4,6,5,3,3,1,1,1,32000,3,6,6,2080,2120
